name,value
FBtr0339317.1,CG12589
FBtr0339316.1,CG12589
FBtr0339315.1,dpr16
FBtr0110950.1,dpr16
FBtr0078773.1,CG12590
FBtr0299709.1,cno
FBtr0300525.1,cno
FBtr0334913.1,cno
FBtr0334910.1,cno
FBtr0334912.1,cno
FBtr0334911.1,cno
FBtr0299710.1,cno
FBtr0306791.1,snRNA:U4atac:82E
FBtr0078831.1,Prosbeta2R2
FBtr0078775.1,CG1116
FBtr0078774.1,CG1116
FBtr0334907.1,CG1116
FBtr0078830.1,CG2604
FBtr0078829.1,CG2604
FBtr0078828.1,CG2604
FBtr0346146.1,CG14664
FBtr0305000.1,CG14664
FBtr0334908.1,CG14664
FBtr0078777.1,Vps37B
FBtr0305002.1,Vps37B
FBtr0305001.1,Vps37B
FBtr0078827.1,Kat60
FBtr0334909.1,Kat60
FBtr0078778.1,Mms19
FBtr0078825.1,rtp
FBtr0078823.1,CG12163
FBtr0078822.1,CG12163
FBtr0303994.1,CG12163
FBtr0078824.1,CG33293
FBtr0334326.1,CR44019
FBtr0334325.1,CR44019
FBtr0332428.1,CG1113
FBtr0078779.1,CG1113
FBtr0078821.1,CG12173
FBtr0334276.1,Hph
FBtr0344333.1,Hph
FBtr0334274.1,Hph
FBtr0334275.1,Hph
FBtr0078820.1,Tim17a2
FBtr0346781.1,CR45793
FBtr0344334.1,CR45033
FBtr0078814.1,mtd
FBtr0078817.1,mtd
FBtr0078810.1,mtd
FBtr0273430.1,mtd
FBtr0100197.1,mtd
FBtr0078813.1,mtd
FBtr0078815.1,mtd
FBtr0078811.1,mtd
FBtr0308580.1,mtd
FBtr0273433.1,mtd
FBtr0078818.1,mtd
FBtr0273431.1,mtd
FBtr0333695.1,mtd
FBtr0110932.1,mtd
FBtr0308581.1,mtd
FBtr0110933.1,mtd
FBtr0306694.1,mtd
FBtr0306695.1,mtd
FBtr0273434.1,mtd
FBtr0100199.1,mtd
FBtr0078812.1,mtd
FBtr0273432.1,mtd
FBtr0078816.1,mtd
FBtr0333694.1,mtd
FBtr0078819.1,CG31538
FBtr0078784.1,Tim17b1
FBtr0078807.1,CG11999
FBtr0335000.1,CG1161
FBtr0078785.1,CG1161
FBtr0078805.1,Prosbeta7
FBtr0078806.1,Prosbeta7
FBtr0078804.1,Cerk
FBtr0078803.1,Cerk
FBtr0335001.1,CR44103
FBtr0332160.1,CG34277
FBtr0346517.1,CG34277
FBtr0332159.1,CG31542
FBtr0078786.1,CG31542
FBtr0078787.1,RpII18
FBtr0078802.1,hd
FBtr0100433.1,CG14667
FBtr0301640.1,7B2
FBtr0078789.1,7B2
FBtr0301398.1,kkv
FBtr0078798.1,kkv
FBtr0078800.1,kkv
FBtr0078801.1,CG14668
FBtr0078790.1,tRNA:R:83AB
FBtr0078792.1,CG1172
FBtr0333810.1,CG1172
FBtr0309312.1,CG1172
FBtr0078797.1,Or83a
FBtr0078795.1,CG2663
FBtr0344832.1,CG2663
FBtr0078794.1,Orco
FBtr0113193.1,Orco
FBtr0078679.1,CG14669
FBtr0334742.1,CG14669
FBtr0339972.1,CG14669
FBtr0347006.1,CG14669
FBtr0078793.1,CG12147
FBtr0330026.1,PEK
FBtr0078770.1,PEK
FBtr0330027.1,PEK
FBtr0078769.1,RpL35A
FBtr0078680.1,CG12162
FBtr0078681.1,CG12162
FBtr0078768.1,mRpL44
FBtr0078682.1,Snr1
FBtr0078767.1,Hdac3
FBtr0344635.1,CG45100
FBtr0345254.1,Hcs
FBtr0345253.1,Hcs
FBtr0078683.1,Hcs
FBtr0336769.1,Hcs
FBtr0344273.1,ksr
FBtr0344272.1,ksr
FBtr0078766.1,ksr
FBtr0344274.1,ksr
FBtr0078684.1,CG31550
FBtr0113409.1,CG31550
FBtr0336770.1,CG31550
FBtr0078685.1,CG31550
FBtr0078764.1,CG31547
FBtr0078765.1,CG31547
FBtr0078763.1,Nmdar1
FBtr0078687.1,Itp-r83A
FBtr0344265.1,Itp-r83A
FBtr0078686.1,Itp-r83A
FBtr0332546.1,CR43845
FBtr0332547.1,CR43845
FBtr0078761.1,CG2519
FBtr0336771.1,CG2519
FBtr0078762.1,CG2519
FBtr0089313.1,mia
FBtr0300009.1,mia
FBtr0346136.1,mia
FBtr0078758.1,Pcmt
FBtr0339519.1,Pcmt
FBtr0078688.1,Snm1
FBtr0078755.1,Pi4KIIalpha
FBtr0078756.1,Pi4KIIalpha
FBtr0078757.1,Pi4KIIalpha
FBtr0309783.1,snoRNA:Pi4KIIalpha-a
FBtr0336763.1,CG14671
FBtr0078754.1,CG14671
FBtr0078692.1,CG12746
FBtr0078689.1,CG12746
FBtr0290215.1,CG12746
FBtr0078753.1,CG2931
FBtr0078694.1,Rheb
FBtr0078693.1,Rheb
FBtr0089685.1,CRMP
FBtr0114453.1,CRMP
FBtr0089686.1,CRMP
FBtr0078752.1,CG2926
FBtr0336762.1,CG2926
FBtr0078699.1,rev7
FBtr0078751.1,noi
FBtr0346137.1,Vha26
FBtr0078701.1,Vha26
FBtr0078700.1,Vha26
FBtr0078744.1,kra
FBtr0078745.1,kra
FBtr0078750.1,kra
FBtr0078749.1,kra
FBtr0078747.1,kra
FBtr0078748.1,kra
FBtr0078746.1,kra
FBtr0113576.1,snoRNA:Psi28S-3385b
FBtr0113577.1,snoRNA:Psi28S-3385a
FBtr0113578.1,snoRNA:Psi28S-3091b
FBtr0113579.1,snoRNA:Psi28S-3091a
FBtr0113580.1,snoRNA:Psi28S-3571
FBtr0091697.1,snoRNA:Psi28S-3186
FBtr0113581.1,snoRNA:Psi28S-2442b
FBtr0113582.1,snoRNA:Psi28S-2442a
FBtr0333278.1,CG1427
FBtr0273377.1,CG1427
FBtr0333279.1,CG1427
FBtr0078743.1,asl
FBtr0078741.1,Rga
FBtr0345140.1,Rga
FBtr0078742.1,Rga
FBtr0344302.1,CR43628
FBtr0309985.1,CR43628
FBtr0078704.1,Atu
FBtr0078739.1,Spec2
FBtr0113194.1,CG2911
FBtr0078740.1,CG2911
FBtr0335214.1,RpL13A
FBtr0078705.1,RpL13A
FBtr0114326.1,snoRNA:Me28S-U2134b
FBtr0114327.1,snoRNA:Me28S-U2134a
FBtr0078706.1,CG31551
FBtr0078707.1,CG31549
FBtr0335215.1,CG31549
FBtr0078708.1,CG12171
FBtr0078737.1,CG31546
FBtr0078736.1,CG31548
FBtr0078709.1,CG12170
FBtr0290206.1,MTA1-like
FBtr0330315.1,MTA1-like
FBtr0078734.1,MTA1-like
FBtr0078733.1,MTA1-like
FBtr0339320.1,Sec23
FBtr0304794.1,Sec23
FBtr0310266.1,Sec23
FBtr0078710.1,Sec23
FBtr0330314.1,Sec23
